<TICKER>,<PER>,Date,<TIME>,Price
GDAX.BTC-USD,D,16/03/19,000000,3990.0000000
GDAX.BTC-USD,D,17/03/19,000000,3967.0100000
GDAX.BTC-USD,D,18/03/19,000000,3970.5000000
GDAX.BTC-USD,D,19/03/19,000000,4000.8500000
GDAX.BTC-USD,D,20/03/19,000000,4031.8500000
GDAX.BTC-USD,D,21/03/19,000000,3972.7600000
GDAX.BTC-USD,D,22/03/19,000000,3983.7800000
GDAX.BTC-USD,D,23/03/19,000000,3983.4300000
GDAX.BTC-USD,D,24/03/19,000000,3969.5200000
GDAX.BTC-USD,D,25/03/19,000000,3907.5300000
GDAX.BTC-USD,D,26/03/19,000000,3921.4500000
GDAX.BTC-USD,D,27/03/19,000000,4026.5300000
GDAX.BTC-USD,D,28/03/19,000000,4011.1700000
GDAX.BTC-USD,D,29/03/19,000000,4091.0100000
GDAX.BTC-USD,D,30/03/19,000000,4094.1400000
GDAX.BTC-USD,D,31/03/19,000000,4094.9900000
GDAX.BTC-USD,D,01/04/19,000000,4137.0000000
GDAX.BTC-USD,D,02/04/19,000000,4901.9300000
GDAX.BTC-USD,D,03/04/19,000000,4975.9700000
GDAX.BTC-USD,D,04/04/19,000000,4906.4900000
GDAX.BTC-USD,D,05/04/19,000000,5040.6600000
GDAX.BTC-USD,D,06/04/19,000000,5049.2200000
GDAX.BTC-USD,D,07/04/19,000000,5194.7900000
GDAX.BTC-USD,D,08/04/19,000000,5285.5400000
GDAX.BTC-USD,D,09/04/19,000000,5187.2100000
GDAX.BTC-USD,D,10/04/19,000000,5318.5800000
GDAX.BTC-USD,D,11/04/19,000000,5041.3000000
GDAX.BTC-USD,D,12/04/19,000000,5078.1900000
GDAX.BTC-USD,D,13/04/19,000000,5066.2200000
GDAX.BTC-USD,D,14/04/19,000000,5164.2700000
GDAX.BTC-USD,D,15/04/19,000000,5029.9900000
GDAX.BTC-USD,D,16/04/19,000000,5202.9000000
GDAX.BTC-USD,D,17/04/19,000000,5227.0000000
GDAX.BTC-USD,D,18/04/19,000000,5281.8100000
GDAX.BTC-USD,D,19/04/19,000000,5290.3600000
GDAX.BTC-USD,D,20/04/19,000000,5319.8900000
GDAX.BTC-USD,D,21/04/19,000000,5297.6400000
