Date;Open;ClosingPrice;DailyHigh;DailyLow;VolumePcs
05.07.2019;242,91000;242,83000;243,50000;241,61000;27870840
04.07.2019;241,97000;242,82000;243,00000;240,81000;25316980
03.07.2019;241,00000;241,51000;243,70000;240,17000;32731470
02.07.2019;242,51000;241,20000;242,74000;239,70000;28583620
01.07.2019;240,98000;242,98000;243,90000;240,21000;50758220
28.06.2019;240,00000;238,55000;241,23000;237,87000;33405070
27.06.2019;240,42000;240,50000;242,44000;238,30000;48171380
26.06.2019;236,80000;240,59000;241,37000;235,81000;39714300
25.06.2019;238,98000;236,70000;239,20000;234,20000;38549170
24.06.2019;239,06000;239,09000;240,75000;238,42000;27723430
21.06.2019;243,00000;238,02000;243,90000;237,56000;61061660
20.06.2019;242,00000;244,10000;244,99000;241,40000;64381820
19.06.2019;242,95000;240,40000;242,95000;238,70000;33945380
18.06.2019;237,25000;241,80000;241,99000;236,36000;48958470
17.06.2019;239,00000;237,80000;240,87000;237,50000;33622230
14.06.2019;240,55000;238,80000;243,80000;237,10000;50409780
13.06.2019;236,55000;240,49000;241,07000;232,55000;75253430
11.06.2019;235,51000;235,89000;239,00000;235,11000;67944000
10.06.2019;249,55000;249,00000;250,65000;245,20000;62696710
07.06.2019;246,36000;248,28000;249,00000;246,06000;68423470
06.06.2019;238,87000;244,89000;246,34000;238,53000;61360950
05.06.2019;236,00000;239,00000;240,30000;235,11000;52861630
04.06.2019;239,88000;236,00000;240,25000;234,80000;70060790
03.06.2019;231,18000;239,95000;241,50000;230,35000;84461310
31.05.2019;230,56000;233,24000;234,10000;229,21000;53532020
30.05.2019;234,55000;232,75000;235,21000;231,91000;36413600
29.05.2019;232,10000;233,40000;234,30000;230,25000;51831510
28.05.2019;236,50000;233,19000;237,47000;230,60000;74118940
27.05.2019;235,28000;236,00000;237,00000;233,83000;27786310
24.05.2019;231,20000;234,45000;236,45000;231,20000;65885440
23.05.2019;234,50000;229,30000;235,37000;228,57000;51517700
22.05.2019;233,13000;235,86000;237,40000;230,80000;59430610
21.05.2019;227,02000;232,71000;232,71000;226,04000;59079510
20.05.2019;;226,00000;;225,10000;30226170
17.05.2019;227,00000;226,94000;228,24000;226,00000;28523030
16.05.2019;229,00000;228,19000;231,45000;227,59000;40133150
15.05.2019;228,92000;228,69000;230,96000;224,43000;61125230
14.05.2019;224,55000;227,88000;230,55000;224,55000;76594470
